DateTime,Entries,UniqueIPs
1497684121,2405,2447
1497684721,2390,2432
1497685322,2398,2440
1497685922,2359,2401
1497687121,2350,2391
1497687723,2348,2389
1497688322,2349,2390
1497688922,2353,2394
1497690121,2344,2384
1497690721,2349,2387
1497691322,2352,2390
1497691922,2347,2384
1497692521,2328,2365
1497693122,2332,2369
1497693722,2329,2366
1497694322,2329,2367
1497694922,2329,2367
1497695522,2329,2367
1497696121,2331,2369
1497696721,2313,2349
1497697322,2298,2334
1497697921,2300,2336
1497698521,2305,2341
1497699121,2300,2336
1497699722,2300,2336
1497700923,2265,2300
1497702122,2267,2301
1497702721,2271,2305
1497703322,2277,2311
1497703921,2265,2298
1497704521,2231,2264
1497705721,2236,2269
1497706921,2244,2277
1497708121,2236,2269
1497708722,2258,2291
1497709322,2250,2283
1497710521,2251,2284
1497711121,2239,2271
1497711722,2237,2269
1497712321,2240,2272
1497712921,2242,2274
1497713521,2243,2275
1497714123,2245,2277
1497714722,2256,2288
1497715321,2252,2285
1497715922,2260,2293
1497716521,2267,2300
1497717721,2268,2301
1497718322,2269,2302
1497718921,2242,2273
1497719522,2253,2285
1497720122,2259,2291
1497720721,2253,2284
1497721322,2255,2287
1497721921,2261,2295
1497723122,2280,2317
1497723721,2282,2319
1497724322,2262,2299
1497724921,2255,2292
1497725521,2269,2306
1497726121,2279,2317
1497726722,2280,2319
1497727321,2282,2321
1497727921,2262,2301
1497728522,2265,2304
1497729122,2268,2307
1497729722,2247,2285
1497730321,2251,2289
1497730922,2240,2278
1497732121,2245,2284
1497733321,2239,2278
1497733922,2213,2252
1497734522,2215,2254
1497735122,2164,2202
1497735722,2139,2176
1497736322,2152,2189
1497736921,2155,2192
1497737521,2175,2212
1497738721,2169,2207
1497739321,2187,2226
1497739922,2178,2218
1497740522,2180,2220
1497741122,2181,2221
1497741721,2184,2224
1497742922,2199,2240
1497744123,2204,2245
1497744721,2205,2246
1497745321,2212,2253
1497745922,2178,2218
1497746521,2170,2209
1497747722,2175,2214
1497748321,2175,2214
1497748922,2170,2207
1497749521,2180,2217
1497750122,2185,2222
1497751321,2165,2201
1497752522,2175,2210
1497753122,2181,2216
1497753721,2189,2224
1497754321,2201,2236
1497754922,2197,2232
1497755521,2209,2244
1497756122,2210,2244
1497756721,2171,2204
1497757322,2172,2205
1497757922,2186,2220
1497758521,2188,2222
1497759121,2168,2200
1497759721,2179,2211
1497760321,2178,2210
1497760922,2184,2216
1497761521,2178,2210
1497762122,2184,2218
1497762722,2183,2217
1497763322,2184,2217
1497763922,2181,2214
1497764522,2167,2199
1497765122,2169,2201
1497765722,2165,2197
1497766921,2157,2189
1497768121,2145,2176
1497769321,2141,2172
1497769922,2143,2174
1497770521,2144,2175
1497771721,2145,2178
1497772321,2150,2183
1497772923,2137,2170
1497773522,2146,2179
1497774122,2151,2184
1497775321,2148,2181
1497775922,2154,2187
1497776521,2153,2186
1497777122,2156,2189
1497777721,2148,2181
1497778923,2126,2159
1497779521,2128,2161
1497780121,2131,2164
1497781321,2120,2153
1497781922,2120,2153
1497782521,2126,2159
1497783121,2124,2157
1497783721,2127,2161
1497784322,2129,2163
1497784922,2110,2148
1497786121,2098,2136
1497787321,2101,2139
1497788521,2098,2136
1497789122,2100,2138
1497789721,2102,2140
1497790321,2101,2139
1497790922,2105,2143
1497791521,2107,2145
1497792722,2114,2151
1497793322,2108,2145
1497794523,2105,2142
1497795122,2109,2144
1497795721,2115,2150
1497796321,2114,2149
1497796922,2113,2148
1497797522,2090,2126
1497798122,2087,2122
1497798721,2089,2124
1497799322,2089,2124
1497800522,2077,2112
1497801722,2079,2114
1497802321,2051,2084
1497802922,2059,2092
1497804122,2059,2092
1497805322,2061,2093
1497805922,2036,2068
1497806521,2039,2071
1497807121,2045,2077
1497807721,2039,2071
1497808322,2022,2055
1497808922,2024,2057
1497809521,2025,2058
1497810122,2001,2035
1497810722,2002,2036
1497811322,2005,2039
1497811922,1981,2015
1497812522,1969,2003
1497813122,1972,2005
1497813722,1964,1996
1497814921,1964,1999
1497815521,1964,1999
1497816122,1965,2000
1497816721,1969,2004
1497817322,1972,2007
1497818522,1966,2001
1497819122,1970,2005
