DateTime,AddedIPs,RemovedIPs
1496219301,0,1
1496219777,1,0
1496220256,0,2
1496228503,41,0
1496244019,2,2
1496260096,5,2
1496272351,54,0
1496273538,0,1
1496274976,1,0
1496279777,0,2
1496281216,0,3
1496281697,3,0
1496282174,1,2
1496282656,0,1
1496283617,1,0
1496291058,1,1
1496299457,1,2
1496299934,0,1
1496309304,1,0
1496309776,0,1
1496316051,40,0
1496320573,0,1
1496321053,1,0
1496322503,2,0
1496325138,0,1
1496326095,1,0
1496337629,2,4
1496347467,3,5
1496360456,53,0
1496366421,0,1
1496366893,1,0
1496367860,1,1
1496370025,2,0
1496370494,0,1
1496388974,1,1
1496389940,1,0
1496390655,0,1
1496391136,1,0
1496391617,0,1
1496392095,1,0
1496395225,0,1
1496399537,0,1
1496404101,36,0
1496407218,1,0
1496410097,1,0
1496412254,1,2
1496413943,0,2
1496415859,0,1
1496416335,1,0
1496421373,2,0
1496424974,0,2778
1496430256,2778,0
1496432174,0,2778
1496432653,2,4
1496433143,2778,0
1496445855,0,2
1496447795,61,0
1496452095,0,1
1496452574,1,0
1496454018,2,2778
1496491477,2826,0
1496516658,1,2
1496518257,1,0
1496519297,5,1
1496524578,0,2
1496531774,2,0
1496535172,44,0
1496538497,0,2
1496538979,2,2
1496539935,1,0
1496541375,1,0
1496546896,2,0
1496549299,1,0
1496555054,0,2
1496555536,2,0
1496563458,1,0
1496566096,0,2
1496572334,2,0
1496578846,42,0
1496580018,0,1
1496580500,1,0
1496598256,0,1
1496598738,0,2
1496599457,2,0
1496605694,1,3
1496606656,1,0
1496610737,1,0
1496612656,0,2
1496618899,2,0
1496622499,55,0
1496626338,0,1
1496626815,0,1
1496627293,1,0
1496627784,0,1
1496633541,1,0
1496642655,1,0
1496648656,1,0
1496649134,0,1
1496666200,56,0
1496666653,0,2
1496675054,2,0
1496678656,0,1
1496679140,1,0
1496682497,1,0
1496684417,0,1
1496685376,0,2
1496687465,1,0
1496690900,0,1
1496691376,1,0
1496691853,3,3
1496697854,1,0
1496698339,0,1
1496704098,2,1
1496704580,1,0
1496708420,1,0
1496709875,69,0
1496711295,1,1
1496712736,0,2
1496713215,2,2
1496714176,1,0
1496727376,0,5
1496734818,1,0
1496735296,0,1
1496742363,1,0
1496743455,1,0
1496743935,0,1
1496744417,1,0
1496747783,1,0
1496753568,57,0
1496757853,0,1
1496758347,1,0
1496758819,0,1
1496759539,1,0
1496769616,0,2
1496770342,0,1
1496771304,1,0
1496776575,1,1
1496778019,2,0
1496778494,3,3
1496783778,0,1
1496784737,1,2
1496790253,1,1
1496795534,0,1
1496796498,1,0
1496797314,56,0
1496797697,2,0
1496798180,0,1
1496798653,0,1
1496801056,0,1
1496801757,1,0
1496819054,1,0
1496820738,1,0
1496822659,0,1
1496823133,1,0
1496829134,0,2
1496829856,1,1
1496831461,1,0
1496833458,1,0
1496837774,0,1
1496841175,49,0
1496845882,1,0
1496849538,2,0
1496850977,2,0
1496856736,0,1
1496858174,0,2
1496858656,1,0
1496862256,1,0
1496863219,1,0
1496863701,1,2
1496864653,2,6
1496884849,47,0
1496885295,1,1
1496885777,1,0
1496886744,0,1
1496887456,0,1
1496897297,0,1
1496906899,2,0
1496915540,0,2
1496921472,1,0
1496928517,49,0
1496939294,1,1
1496941456,2,0
1496943376,0,1
1496945053,1,0
1496946974,1,1
1496948659,0,2
1496951056,5,5
1496955141,2,0
1496961615,0,2
1496968575,2,0
1496971940,0,1
1496972196,55,0
1496973376,1,1
1496973861,1,0
1496975295,0,2
1496981534,0,1
1496983454,1,0
1496983945,0,1
1496989455,1,1
1496991133,2,0
1496997854,0,2
1496999303,2,0
1497004578,0,1
1497005053,1,0
1497011456,4,0
1497015140,0,1
1497015858,54,0
1497018014,0,1
1497020901,1,0
1497022816,1,0
1497024733,0,1
1497031697,1,0
1497032654,0,2
1497037945,5,5
1497046097,0,1
1497047053,1,0
1497051854,1,1
1497056658,0,1
1497057139,1,1
1497057616,1,0
1497059557,58,0
1497063855,1,0
1497082816,2,0
1497103303,60,0
1497103701,1,0
1497106574,1,0
1497110655,1,0
1497120015,0,2
1497120494,0,1
1497124095,5,2
1497132257,2,0
1497133858,1,0
1497135135,1,0
1497138016,0,1
1497138499,1,0
1497144015,0,1
1497144744,1,0
1497146178,0,1
1497147167,55,0
1497151940,1,0
1497159379,0,2
1497161298,2,0
1497165134,0,1
1497176419,1,1
1497177377,0,2
1497184093,2,0
1497190855,57,0
1497194177,0,1
1497210256,2,2
1497214340,2,2
1497221298,2,0
1497230416,0,1
1497231140,1,1
1497231616,1,0
1497234521,49,0
1497250093,0,2
1497277224,2,0
1497278199,55,0
1497291373,0,2
1497296895,2,1
1497309617,2,0
1497310340,1,0
1497315855,0,1
1497316818,1,0
1497317539,0,1
1497318974,1,2
1497321876,49,0
1497325215,3,1
1497338181,0,2
1497346816,2,0
1497348256,0,1
1497348739,1,0
1497349700,1,0
1497352333,1,1
1497359299,0,2
1497361224,2,0
1497365563,56,0
1497367935,1,0
1497372734,0,1
1497373705,1,0
1497375615,1,1
1497376574,0,2
1497382099,0,1
1497383061,3,3
1497387857,1,1
1497399854,1,1
1497401056,2,0
1497401538,0,1
1497402499,1,0
1497402976,1,1
1497403458,1,0
1497403934,1,1
1497404416,1,0
1497406340,0,1
1497407303,1,0
1497409351,57,0
1497413061,1,1
1497414983,0,1
1497417615,1,0
1497420737,1,1
1497429374,0,1
1497430338,1,0
1497437053,1,1
1497441861,1,0
1497442829,0,1
1497443779,1,0
1497444736,1,1
1497445934,0,1
1497446894,1,0
1497453416,48,1
1497462737,0,2
1497467057,1,0
1497469453,2,4
1497475216,0,1
1497476417,1,0
1497481456,2,0
1497488174,0,2
1497488660,0,1
1497490093,1,0
1497492253,0,1
1497493875,1,0
1497494419,3,1
1497497063,46,0
1497497458,1,0
1497510255,1,1
1497511703,0,2
1497519139,1,0
1497526574,2,0
1497534016,0,2
1497535934,1,0
1497538333,1,0
1497540765,49,0
1497546735,0,2
1497555856,3,3
1497565454,0,1
1497565935,1,0
1497575299,1,0
1497576734,1,0
1497581299,2,0
1497584421,47,0
1497587060,0,1
1497587535,1,0
1497588493,0,2
1497594254,2,0
1497600260,0,1
1497601218,1,0
1497602653,1,1
1497609853,0,1
1497611533,1,0
1497622820,0,1
1497624737,1,0
1497628140,54,0
1497630256,0,2
1497630735,1,1
1497632658,2,0
1497634254,1,0
1497636256,1,0
1497641056,0,2
1497642499,0,1
1497653304,0,1
1497653774,0,1
1497655229,2,0
1497659534,1,0
1497660494,2,0
1497661697,0,1
1497662180,1,1
1497662654,1,0
1497663138,1,3
1497663616,1,0
1497664102,0,1
1497664575,1,1
1497671794,38,0
1497677304,0,2
1497679696,1,0
1497686900,2,0
1497701303,0,1
1497703940,1,0
1497705859,1,1
1497706334,0,1
1497706816,1,0
1497707779,1,0
1497710653,1,0
1497715482,60,3
1497717379,2,0
1497726258,0,2
1497728653,1,1
1497739454,3,1
1497748096,0,3
1497756255,2,0
1497759187,47,0
1497791296,1,0
